"Value","CellSubset"
1,"B Cell (CD27-)"
2,"B Cell (Memory)"
3,"B Cell (Plasmablast)"
4,"B Cell_unassigned"
5,"Basophil"
6,"CD4+ CD8+ T Cell"
7,"CD4+ T Cell (Central Memory)"
8,"CD4+ T Cell (Effector Memory)"
9,"CD4+ T Cell (EMRA)"
10,"CD4+ T Cell (Naive)"
11,"CD4+ T Cell (Treg)"
12,"CD4- CD8- T Cell"
13,"CD8+ T Cell (Central Memory)"
14,"CD8+ T Cell (Effector Memory)"
15,"CD8+ T Cell (EMRA)"
16,"CD8+ T Cell (Naive)"
17,"CM- HLADR+_unassigned"
18,"CM-_unassigned"
19,"Dendritic Cell (Type 1, CD141+)"
20,"Dendritic Cell (Type 2, CD1c+)"
21,"Monocyte (CD14+ CD16+)"
22,"Monocyte (CD14+ CD16-)"
23,"Monocyte (CD14- CD16+)"
24,"NK Cell (CD56+ CD16+)"
25,"NK Cell (CD56+ CD16-)"
26,"Plasmacytoid Dendritic Cell"
27,"Root_unassigned"
28,"T Cell_unassigned"
29,"Bead"
30,"Debris"
31,"Dead"
