"Value","CellSubset"
1,"B Cell (CD27-) CXCR5hi CD1chi"
2,"B Cell (CD27-) CXCR5hi CD1clo CCR6hi"
3,"B Cell (CD27-) CXCR5hi CD1clo CCR6lo"
4,"B Cell (CD27-) CXCR5lo"
5,"B Cell (Memory)"
6,"B Cell (Plasmablast)"
7,"B Cell_unassigned CD11chi"
8,"B Cell_unassigned CD11clo CXCR5hi CD1chi"
9,"B Cell_unassigned CD11clo CXCR5hi CD1clo"
10,"B Cell_unassigned CD11clo CXCR5lo"
11,"Basophil"
12,"CD4+ CD8+ T Cell CCR4hi CXCR5hi"
13,"CD4+ CD8+ T Cell CCR4hi CXCR5lo CD27hi"
14,"CD4+ CD8+ T Cell CCR4hi CXCR5lo CD27lo"
15,"CD4+ CD8+ T Cell CCR4lo CXCR5hi"
16,"CD4+ CD8+ T Cell CCR4lo CXCR5lo CD27hi"
17,"CD4+ CD8+ T Cell CCR4lo CXCR5lo CD27lo"
18,"CD4+ T Cell (Central Memory) CXCR5hi"
19,"CD4+ T Cell (Central Memory) CXCR5lo CCR4hi PD1hi"
20,"CD4+ T Cell (Central Memory) CXCR5lo CCR4hi PD1lo"
21,"CD4+ T Cell (Central Memory) CXCR5lo CCR4lo PD1hi"
22,"CD4+ T Cell (Central Memory) CXCR5lo CCR4lo PD1lo"
23,"CD4+ T Cell (Effector Memory)"
24,"CD4+ T Cell (EMRA)"
25,"CD4+ T Cell (Naive) CCR4hi"
26,"CD4+ T Cell (Naive) CCR4lo CD127hi CD38hi"
27,"CD4+ T Cell (Naive) CCR4lo CD127hi CD38lo"
28,"CD4+ T Cell (Naive) CCR4lo CD127lo"
29,"CD4+ T Cell (Treg)"
30,"CD4- CD8- T Cell CD38hi"
31,"CD4- CD8- T Cell CD38lo CD57hi"
32,"CD4- CD8- T Cell CD38lo CD57lo CCR4hi"
33,"CD4- CD8- T Cell CD38lo CD57lo CCR4lo"
34,"CD8+ T Cell (Central Memory)"
35,"CD8+ T Cell (Effector Memory)"
36,"CD8+ T Cell (EMRA)"
37,"CD8+ T Cell (Naive) CCR7hi CD57hi"
38,"CD8+ T Cell (Naive) CCR7hi CD57lo CXCR3hi"
39,"CD8+ T Cell (Naive) CCR7hi CD57lo CXCR3lo"
40,"CD8+ T Cell (Naive) CCR7lo"
41,"CM- HLADR+_unassigned"
42,"CM-_unassigned"
43,"Dendritic Cell (Type 1, CD141+)"
44,"Dendritic Cell (Type 2, CD1c+)"
45,"Monocyte (CD14+ CD16+)"
46,"Monocyte (CD14+ CD16-) CD54hi CHIKVhi CD123hi"
47,"Monocyte (CD14+ CD16-) CD54hi CHIKVhi CD123lo"
48,"Monocyte (CD14+ CD16-) CD54hi CHIKVlo CD123hi"
49,"Monocyte (CD14+ CD16-) CD54hi CHIKVlo CD123lo"
50,"Monocyte (CD14+ CD16-) CD54lo CHIKVhi"
51,"Monocyte (CD14+ CD16-) CD54lo CHIKVlo CD123hi"
52,"Monocyte (CD14+ CD16-) CD54lo CHIKVlo CD123lo"
53,"Monocyte (CD14- CD16+)"
54,"NK Cell (CD56+ CD16+) CD57hi CD11chi CCR4hi"
55,"NK Cell (CD56+ CD16+) CD57hi CD11chi CCR4lo"
56,"NK Cell (CD56+ CD16+) CD57hi CD11clo"
57,"NK Cell (CD56+ CD16+) CD57lo CD11chi CCR4hi"
58,"NK Cell (CD56+ CD16+) CD57lo CD11chi CCR4lo"
59,"NK Cell (CD56+ CD16+) CD57lo CD11clo"
60,"NK Cell (CD56+ CD16-)"
61,"Plasmacytoid Dendritic Cell"
62,"Root_unassigned CD14hi"
63,"Root_unassigned CD14lo CD20hi"
64,"Root_unassigned CD14lo CD20lo CD11bhi"
65,"Root_unassigned CD14lo CD20lo CD11blo"
66,"T Cell_unassigned"
67,"Bead"
68,"Debris"
69,"Dead"
