"","CellSubset","160406_eha001_1758_1_patients_acute","160406_eha001_1758_1_patients_conv","160406_eha001_1760_1_patients_acute","160406_eha001_1760_1_patients_conv","160406_eha001_1773_1_patients_acute","160406_eha001_1773_1_patients_conv","160406_eha001_1785_1_patients_acute","160406_eha001_1785_1_patients_conv","160406_eha001_1790_1_patients_acute","160406_eha001_1790_1_patients_conv","160406_eha001_1793_1_patients_acute","160406_eha001_1793_1_patients_conv","160406_eha001_1794_1_patients_acute","160406_eha001_1794_1_patients_conv","160406_eha001_1800_1_patients_acute","160406_eha001_1800_1_patients_conv","160406_eha001_1802_1_patients_acute","160406_eha001_1802_1_patients_conv","160406_eha001_1822_1_patients_acute","160406_eha001_1822_1_patients_conv","160406_eha001_1823_1_patients_acute","160406_eha001_1823_1_patients_conv","160406_eha001_1824_1_patients_acute","160406_eha001_1824_1_patients_conv","160406_eha001_1857_1_patients_acute","160406_eha001_1857_1_patients_conv","160407_eha001_1828_1_patients_acute","160407_eha001_1828_1_patients_conv","160407_eha001_1829_1_patients_acute","160407_eha001_1829_1_patients_conv","160407_eha001_1838_1_patients_acute","160407_eha001_1838_1_patients_conv","160407_eha001_1839_1_patients_acute","160407_eha001_1839_1_patients_conv","160407_eha001_1842_1_patients_acute","160407_eha001_1842_1_patients_conv","160407_eha001_1844_1_patients_acute","160407_eha001_1844_1_patients_conv","160407_eha001_1847_1_patients_acute","160407_eha001_1847_1_patients_conv","160408_eha001_1862_1_patients_acute","160408_eha001_1862_1_patients_conv","160408_eha001_1863_1_patients_acute","160408_eha001_1863_1_patients_conv","160408_eha001_1864_1_patients_acute","160408_eha001_1864_1_patients_conv","160408_eha001_1878_1_patients_acute","160408_eha001_1878_1_patients_conv","160408_eha001_1879_1_patients_acute","160408_eha001_1879_1_patients_conv","160408_eha001_1880_1_patients_acute","160408_eha001_1880_1_patients_conv","160408_eha001_1882_1_patients_acute","160408_eha001_1882_1_patients_conv","160408_eha001_1885_1_patients_acute","160408_eha001_1885_1_patients_conv","160408_eha001_1886_1_patients_acute","160408_eha001_1886_1_patients_conv","160408_eha001_1889_1_patients_acute","160408_eha001_1889_1_patients_conv","160408_eha001_1890_1_patients_acute","160408_eha001_1890_1_patients_conv","160408_eha001_1891_1_patients_acute","160408_eha001_1891_1_patients_conv","160408_eha001_1897_1_patients_acute","160408_eha001_1897_1_patients_conv","160408_eha001_1910_1_patients_acute","160408_eha001_1910_1_patients_conv","160408_eha001_1912_1_patients_acute","160408_eha001_1912_1_patients_conv","160408_eha001_1914_1_patients_acute","160408_eha001_1914_1_patients_conv","160408_eha001_1918_1_patients_acute","160408_eha001_1918_1_patients_conv","160408_eha001_1920_1_patients_acute","160408_eha001_1920_1_patients_conv","160408_eha001_1924_1_patients_acute","160408_eha001_1924_1_patients_conv","160408_eha001_1937_1_patients_acute","160408_eha001_1937_1_patients_conv","160411_eha001_1925_1_patients_acute","160411_eha001_1925_1_patients_conv","160411_eha001_1938_1_patients_acute","160411_eha001_1938_1_patients_conv","160411_eha001_1948_1_patients_acute","160411_eha001_1948_1_patients_conv"
"1","B Cell (CD27-) CXCR5hi CD1chi",0.00579042960671834,0.0125541503972648,0.0146286660359508,0.041275123042765,0.00546414538310413,0.0148287820500673,0.00410771848137536,0.0089381682412174,0.0039855720913584,0.00797578838243655,0.00105182202718903,0.0193992916411507,0.00341438793384994,0.0157697626181148,0.00726230789268039,0.019686212093594,0.00863538859248666,0.0223759475014037,0.00248147630364882,0.0147865256560909,0.00217644189275395,0.00869716304526193,0.00859214060340556,0.0297039091577176,0.0107111203303853,0.00502878627658325,0.00786226420900391,0.00856440913267144,0.0176915210005995,0.0963208378977743,0.0137310834985254,0.0201429499675114,0.00319488817891374,0.0111763429690941,0.000846953257336446,0.0163733702627846,0.0155985035792417,0.0199243427274447,0.0170093799806652,0.0512880799253413,0.00743303418510653,0.0220663171109962,0.00220822769281099,0.017073842629511,0.00292797189146984,0.0119420129745812,0.00424083859163118,0.0207609560085388,0.0158675642258552,0.0465832157247755,0.00434058871868349,0.0171927585854207,0.00510890694312914,0.0166959239182855,0.015709910087936,0.0186930337343366,0.00325489822488965,0.0421662212949599,0.0076889014129866,0.0161730011448233,0.0121851076792668,0.0587713279054116,0.00319926873857404,0.0234175176673424,0.00316430345269567,0.0145125594107901,0.00839429294224833,0.0382133691119734,0.00893701296762572,0.0391413017981218,0.00978974689497797,0.0353814975391291,0.0105059095741355,0.0673108692014263,0.00831462037992353,0.0598290180513532,0.0013749891219215,0.0169817651172473,0.0112135388002201,0.0343307382046712,0.00503855411855901,0.0280041685594421,0.00228673415321119,0.0104759626883521,0.0127677991776672,0.0251994428263898
"2","B Cell (CD27-) CXCR5hi CD1clo CCR6hi",0.0113470841050909,0.0117042562697904,0.0269276253547777,0.0238665283099808,0.0213858873608382,0.0089541207906157,0.00620075214899713,0.0311051736067293,0.00763385051695417,0.00871568070093302,0.00724965504761474,0.0232419056213897,0.00267212968736083,0.0127506337865868,0.0130867413388903,0.00685105077602266,0.0191683625763159,0.0261440202133633,0.0205508178386691,0.0177662134183873,0.00379001088220946,0.0184320009266678,0.0128686536806696,0.0267840915376653,0.014011201418092,0.0261778874397838,0.00833923131365972,0.0114785748110852,0.0163396772032115,0.0715365912309295,0.0123289658173379,0.0121917855066516,0.022272057016466,0.0184080943020374,0.0118687909169986,0.0310663379044788,0.0240514685894034,0.0206279553622092,0.0361612625088182,0.0274580587286315,0.0138384599575255,0.0169056938187726,0.00862844524413184,0.0146177378898378,0.0110705222944145,0.0148451304519762,0.00658355991039518,0.0230364420226711,0.0210880615469158,0.013390330872076,0.00242314418761457,0.0159361773630302,0.02676568808254,0.0227531395281545,0.0382373283272404,0.0243068337431714,0.00468387793337779,0.0215886194429757,0.00611891630771708,0.02099264403585,0.0170326613864533,0.062472783415368,0.013614933128067,0.0155764926231571,0.0054607599668883,0.00602271215547789,0.0445543240780873,0.0207211771321045,0.0246215702471114,0.0157001997913111,0.0144233281655547,0.0363679904496049,0.0260950356003824,0.0678171917975739,0.0502822115676397,0.0614958232111172,0.00647463232094683,0.0128990270147908,0.00595074298293891,0.0188429430057795,0.00938354208314634,0.0296519965440148,0.00546585236621211,0.0114231045204497,0.0137199740315949,0.012105862985944
"3","B Cell (CD27-) CXCR5hi CD1clo CCR6lo",0.000899135032099121,0.00187462361831498,0.0131031220435194,0.0299998260879647,0.00454322200392927,0,0.00173486747851003,0.00721928973329098,0.00273276704709721,0.00174731632277698,0.000927412970209686,0,0.00314717496511386,0.000541599446877161,0.00459494660067726,0.00206731902066874,0.000941917386282383,0.0101198413812465,0.00510275408919335,0.00731632253371384,0,0.00101836925779704,0.00418524602988344,0.00399845119281859,0.00880650210262309,0.00408099322445463,0.00666215342954734,0.000866154798861856,0.0111086294654927,0,0.00246579316346758,0.00927350865793464,0.00301056770705333,0.00395774027493804,0.00062949228585817,0,0.00872480615137668,0.00110081331567997,0.00987641418232174,0.0021377569106338,0.0129136123861067,0.00433645964109002,0.00318966222294921,0.00222702295167534,0.00482418225927888,0.0025767129177743,0.00413823765796269,0.00128233910829867,0.00841461739249897,0.00628268324776885,0.00115889504625045,0,0.00396251806808553,0.00187117807056463,0.00375456970655074,0,0.00217522466736528,0.00191843267265894,0.00712531701622318,0.00273872096038658,0.00341712802309873,0.00249732782623613,0.00404118156451458,0.000914831365182817,0.00154877299794387,0,0.00276861295144755,0.00501049420174477,0.00593146963107453,0.00171076365577656,0.0019858205445329,0.00216599530343593,0.00911226850817871,0.00545798595169339,0.0071210374056766,0.0103772063172404,0.00245409450874598,0.00209796146056924,0.00338813979086406,0.00358243201316084,0.00124433927624332,0.00360740720947011,0.00391347592886955,0.00065056206649127,0.00865613503570656,0.00275421045966823
"4","B Cell (CD27-) CXCR5lo",0.00293118020464313,0.000471084173514385,0.0528263954588458,0.00685213419052643,0.00188277668631303,0.00420227785252705,0.00235046561604585,0.00122279711576538,0.00320773159684458,0.00132929806373942,0.00133456988396028,0.0014611244211906,0.00273151034707996,0.000489744180686794,0.00531388382391248,0.000751348203210791,0.00295638303723668,0.000583415216170691,0.00849294002516427,0.00177662134183873,0.00150099440879583,0.000545382588298889,0.00814884351612819,0.00209405052588325,0.0141809198740312,0.00256139114087651,0.0141551527833338,0.00274012522817513,0.00975678566810471,0.0024313997915943,0.0116359651243372,0.00319756506275435,0.0124109117719341,0.00247194409198788,0.00595156342993179,0.00306103492535297,0.00860830280514168,0.000949498770569321,0.00527787212917723,0.00127324946284788,0.00537781735973145,0.00131452625360018,0.00482538643984624,0.000574154354728799,0.011293605867098,0.00174500899181792,0.00206911882898134,0.00160958291635116,0.0167261986536612,0.00261465982150771,0.00307633957731937,0.00167057115999981,0.0205602352589344,0.0038870348579255,0.0123505582452327,0.00139884852679163,0.00206408180114953,0.00206847768616299,0.00322048226721952,0.000986698544619647,0.00958914995629255,0.00324619627611143,0.0158279611276821,0.00107181426216685,0.00158882747202863,0.000636940107473565,0.0151344944406606,0.00150871547630315,0.0122908808630487,0.00269354277718011,0.010068458550351,0.00106870065301542,0.0247371289207322,0.00174638386976353,0.0340575752058425,0.00920408831623351,0.00228004525280654,0.00104695957280816,0.0103364061640066,0.00116889020368994,0.000713965158500265,0.000721481441894022,0.00438755496063285,0.000497488639081559,0.0195484382889706,0.00333037862479423
"5","B Cell (Memory)",0.00336276502005071,0.0156623346348855,0.00810075685903501,0.0166201935061246,0.00605762933857236,0.0213098599556558,0.00680515759312321,0.0353349202135761,0.00559632143397993,0.0131926562552252,0.00430907733719378,0.0113917568230571,0.00249398770820344,0.0135803180456326,0.0145246157853608,0.0210333038425459,0.00946042571915736,0.0192219960696238,0.00436879630924088,0.0190252364165408,0.00889339187211528,0.0128961263357047,0.0101436804088764,0.0361717595555872,0.00458239831035848,0.0260212274311675,0.0279718127827184,0.0550291618940458,0.0380632192690639,0.0487883079060571,0.0186304372350884,0.0363872644574399,0.00783362005406734,0.0255280822052897,0.0305475438355537,0.0501123083158819,0.0148606490530867,0.021229430679024,0.015598463668905,0.0236925681296978,0.0128451051585942,0.0268074735987002,0.0231046045636706,0.0297951312870627,0.0270767686344497,0.056935626116131,0.00345423143350604,0.0275988295326121,0.0155928012089573,0.0224819837325206,0.00522556311763838,0.0155708921239632,0.023276678462842,0.0283956094832076,0.02282383163719,0.0276309395844684,0.0148455114159601,0.0379470984152389,0.0120768085020732,0.0175202241576694,0.0117612778469445,0.00938889695306211,0.00697584912922159,0.0295046648279819,0.00476648241608588,0.0174311963589601,0.026633525868398,0.0595302383325075,0.0222728675072899,0.0237808281228514,0.0248227568066612,0.0274895542553229,0.0127393087182969,0.0128897718544709,0.0250955877890393,0.0327886481281436,0.00593507962753459,0.0277060266873633,0.0247660979636764,0.0502442403295982,0.0122394027171474,0.024352225458497,0.00384840625784322,0.0252284142549629,0.00854071990189714,0.0262758009370647
"6","B Cell (Plasmablast)",0.00516103508424895,0.00535190473415312,0.004860454115421,0.00314780783879514,0.00173952193844139,0.00739070287479391,0.00996149713467049,0.00371190725888921,0.00340047083442323,0.00182255960940374,0.00173041688344002,0.00350240118608924,0.00350345892342864,0.00250057616962434,0.00346965355561344,0.00293870510249901,0.00119630383367252,0.00379877877596856,0.00450859779113659,0.00381903642773208,0.0108446846035499,0.00133208490593357,0.00818795796500561,0.00346110992579949,0.000924022704557883,0.00210707711588924,0.036018709419331,0.00670258106035156,0.0118727150901033,0.00257568065834825,0.0155844574449226,0.0118782987357933,0.00247808634390104,0.00182766079141657,0.00686718857299821,0.00728737418090928,0.00218767394596834,0.00153205976924532,0.00499046325085569,0.00176880394128584,0.00500102760841269,0.00774536592570711,0.0116136419399689,0.00133099418596222,0.00764061236440702,0.00438763052259253,0.0018126164948101,0.00243149759704111,0.00465379859870861,0.00505887245778023,0.00223350681640995,0.0022501570726528,0.0154264068185217,0.00507340033565462,0.00335935184270329,0.00233018715120816,0.00292146962624242,0.00231140770802669,0.00599814822269635,0.00206827194929887,0.00940372440465153,0.00180124305564719,0.00175598960839026,0.00124503676918372,0.010040321503912,0.00242279116830135,0.00520994577764411,0.00221575188032713,0.00308516037857903,0.00196151388428281,0.00527810197362691,0.00282365724375311,0.0037253097724613,0.00259597602262146,0.00278165523659242,0.00190142875996539,0.00273257331824906,0.0027447318530376,0.00591634562465603,0.00486676816289423,0.00118314226265758,0.00680508421737078,0.00129209775323722,0.00268835206888304,0.00365000360672293,0.0316196023806509
"7","B Cell_unassigned CD11chi",0.00456760596306353,0.00712454105717116,0.00359508041627247,0.00245795676546803,0.0048092665356909,0.00495556103015028,0.00499194126074499,0.0197518722720963,0.00243677464653001,0.00285924489181687,0.000373227170938044,0.00574064325286405,0.00472076244767079,0.00502996082046555,0.00354258921594165,0.00282755891859209,0.0062015290688081,0.00622894441325098,0.00370473927023626,0.00804375804375804,0.00409020976396863,0.00327712192438005,0.00940050588020548,0.0180285897162364,0.00861792604046842,0.0131516077233384,0.0158322306674462,0.0128870882223185,0.0134008863393245,0.0160151762096882,0.00162774581379233,0.00268458671044082,0.00106496272630458,0.00325428809982447,0.012853087945795,0.0106228467202594,0.00569571914926668,0.00562511821448837,0.0152326705510412,0.0123743932170529,0.00873467150784408,0.00911897201092977,0.00871023145497669,0.00694494787664381,0.010512813362706,0.0127109467929183,0.00116281058157629,0.00584092145768091,0.00463662591015249,0.00995752456143939,0.00212815272129628,0.0062975175215153,0.00665403977470966,0.00473581666313008,0.00464380990020749,0.0078077834876975,0.0105268171858626,0.0133111361980023,0.00837325389477074,0.00191647217320354,0.00744351143016079,0.00555878122484528,0.00452227460790917,0.0069857389157895,0.00273705572912494,0.0038055155788294,0.00972994966962398,0.00583444213714279,0.00366238393328092,0.00334872885811581,0.00855296392426011,0.00968979087065148,0.00728981480654297,0.00912667933903447,0.00449110881835286,0.00916009639119575,0.0031502915325037,0.00624133428731966,0.00975165107319758,0.0128902614129141,0.00138713230794337,0.00241384531794173,0.00129209775323722,0.00169815833532648,0.00568419534011397,0.00726858300620489
"8","B Cell_unassigned CD11clo CXCR5hi CD1chi",0.0115988419140787,0.0259824776113604,0.0288789025543992,0.0159245453649544,0.018602652259332,0.0112755595141087,0.00640222063037249,0.0169320412008651,0.00207194680397043,0.00984851018292479,0.00175303671198172,0.00581226699900085,0.00605682729135121,0.0265498962894676,0.0448762698619432,0.0161073049717911,0.0173326549694736,0.0095715188096575,0.00433384593876695,0.00868725868725869,0.00206386731209426,0.00551174261802948,0.004080940832877,0.0210945957692277,0.00175375737803843,0.0266557004660635,0.0322799027602548,0.0245842254592847,0.0632310242273919,0.0235925935821733,0.0272204225692598,0.0212829018615414,0.0180122061112476,0.0235360634290335,0.019159456118665,0.00783202729176518,0.0114432175635267,0.023900132400227,0.0173229169388342,0.0553718828899869,0.0112009316982942,0.0165482608374566,0.0166026008015049,0.0199069174000667,0.0107637823819748,0.0363470308169843,0.0106704971015236,0.0356809905593967,0.0326281082566287,0.0250011931302966,0.00214922354031901,0.00627803564209839,0.013831430992374,0.0177617237986844,0.0283568817310542,0.0226466214126898,0.00706551078085802,0.00953857585847183,0.00446841914576708,0.00730536422458777,0.00916532012397023,0.00773940697536322,0.00558067930337727,0.0296372883099167,0.00946620737536383,0.0261629196044521,0.0525859552599223,0.0247017364146017,0.0319960987649406,0.0320758074561794,0.0420332015259463,0.0117557071831696,0.0516361882130127,0.0115596023222186,0.060650199267666,0.041855872677593,0.00342877034200679,0.0134406972184831,0.0465740231150248,0.0421125165051626,0.00110154624454327,0.00735732927166003,0.0142688492893462,0.0331164793111696,0.035821972156099,0.0508041028238572
"9","B Cell_unassigned CD11clo CXCR5hi CD1clo",0.0231077703249474,0.0499543485440099,0.0468306527909177,0.0473214648031026,0.0488294040602489,0.0169465026814986,0.0151437141833811,0.035970252522835,0.015315885843303,0.0129711065779353,0.00926281978782601,0.00869154159369998,0.016299991092901,0.0499711915187831,0.0531388382391248,0.0406217072943018,0.0311864033881525,0.0213187815833801,0.0158325178246889,0.0124923059705668,0.0129836016360839,0.032949795843509,0.0171582049075595,0.035871480612253,0.00235720077693338,0.0460345435318999,0.046804320398806,0.028635725242746,0.088810259906664,0.036337403478772,0.0245934664539316,0.0196128723367874,0.0346727287621856,0.0205907683407075,0.0356407086938607,0.0255986962102277,0.0867820481288268,0.0453224891242671,0.0179238627753246,0.0464953085097917,0.0195930670685757,0.0277409349383354,0.0172159973828413,0.0237433124066637,0.0242324530827361,0.0373262444958462,0.0159715453410626,0.0396345523799377,0.0281975546091496,0.0263988600492251,0.0135906782696643,0.0175093391259455,0.0346408812241439,0.0198450973205502,0.0459440766722656,0.0410230736383314,0.0175764504144041,0.0150402263536204,0.0123586007004549,0.018595472571678,0.0157611718894864,0.00541692508676317,0.0203261810834215,0.0476280696246214,0.00630190392266816,0.0167539435864566,0.0846151804905664,0.0429622041720715,0.0577920203819628,0.0365690897766705,0.0408660964690717,0.0221853677366779,0.0685832209189097,0.00840581326994289,0.0841678299043111,0.0623952136785559,0.00948568444869898,0.0308832862403641,0.0415692074848652,0.0525820207369781,0.0150136673330341,0.0142158565588007,0.0565269527873058,0.0546089452284143,0.0527879968260838,0.0437001392934026
"10","B Cell_unassigned CD11clo CXCR5lo",0,0.0109660625133555,0.0252483443708609,0.0535127332595173,0,0.00310314768140385,0.00179083094555874,0.00133593848590737,0.000344177209961865,0,0.000271437942500396,0.000540759283332796,0,0.0129638165475916,0.00188590778848659,0,0,0.000342153284671533,0.000559205927582832,0,0.000825546924837705,0.000709480004247227,0.00061279303241284,0,0.00469554394765129,0.00600791133043512,0.0146782779948918,0.00370746633531524,0,0,0,0.0156344402266224,0,0.012366294779333,0.00117886737169803,0.00429389312977099,0.00212294986472667,0,0.00697619731925901,0,0.00219223128040008,0,0.00273983806330253,0.0018181554566412,0.0023702629597613,0.00520364192164407,0.000837907624959387,0.000662097937222461,0.00125360626459679,0,0.00141174487452327,0.00152932753422723,0.00652943228829188,0.00119601072551554,0,0.000828265575073992,0.000825632720459814,0.000292945026365052,0.000805120566804879,0.00698278970038519,0.00230457471325263,0.000389279634736939,0.00339170595593188,0.000738902256493814,0.000480653689017063,0.00796578260992256,0.00560798917321964,0,0.018381584578179,0,0.00182904523838556,0.000378870465617505,0.0237812340870311,0.000926827803117746,0.00207359754000526,0.00160814925971366,0.00163606300583065,0,0.0272771051183269,0,0.00040798009057158,0.000703667085304047,0.00419234594755385,0.00465917244678307,0.000981028637380077,0.00138027098898316
